# Poisson-Nernst-Planck system, generated on jotelha-fujitsu-ubuntu-20, 2021-02-03 09:59:33
# All quantities in SI units.
# grid x (m), potential u (V), concentration c (mM)
# x                    u                      c00                    c01                   
 2.700000000000000e-09  7.190986153082917e-07  9.996828916200838e+02  9.997388525806709e+02
 2.800000000000000e-09  5.182008443155694e-07  9.996907084627946e+02  9.997310353615096e+02
 2.900000000000000e-09  3.734287750323855e-07  9.996963415173662e+02  9.997254021114474e+02
 3.000000000000000e-09  2.691023211291683e-07  9.997004008601652e+02  9.997213426671301e+02
 3.100000000000000e-09  1.939220115715594e-07  9.997033261365739e+02  9.997184173380035e+02
 3.200000000000000e-09  1.397451586861204e-07  9.997054341708387e+02  9.997163092763625e+02
 3.300000000000000e-09  1.007039335857017e-07  9.997069532769735e+02  9.997147901560118e+02
 3.400000000000000e-09  7.256982877581409e-08  9.997080479851180e+02  9.997136954404853e+02
 3.500000000000000e-09  5.229567366337325e-08  9.997088368605342e+02  9.997129065612364e+02
 3.600000000000000e-09  3.768559922489910e-08  9.997094053447106e+02  9.997123380750697e+02
 3.700000000000000e-09  2.715720611016162e-08  9.997098150091409e+02  9.997119284096068e+02
 3.800000000000000e-09  1.957017689695065e-08  9.997101102239060e+02  9.997116331943058e+02
 3.900000000000000e-09  1.410276970045642e-08  9.997103229632662e+02  9.997114204546679e+02
 4.000000000000000e-09  1.016281631258378e-08  9.997104762687153e+02  9.997112671490742e+02
 4.099999999999999e-09  7.323585185039069e-09  9.997105867445559e+02  9.997111566731595e+02
 4.200000000000000e-09  5.277562655649781e-09  9.997106663562784e+02  9.997110770613990e+02
 4.300000000000000e-09  3.803146518802954e-09  9.997107237265249e+02  9.997110196911335e+02
 4.400000000000001e-09  2.740644560135089e-09  9.997107650689931e+02  9.997109783486557e+02
 4.500000000000000e-09  1.974978487782150e-09  9.997107948614338e+02  9.997109485562110e+02
 4.600000000000000e-09  1.423219943225126e-09  9.997108163306285e+02  9.997109270870142e+02
 4.700000000000000e-09  1.025608631766080e-09  9.997108318018796e+02  9.997109116157623e+02
 4.800000000000000e-09  7.390797570492217e-10  9.997108429508589e+02  9.997109004667831e+02
 4.900000000000000e-09  5.325997259580017e-10  9.997108509850988e+02  9.997108924325440e+02
 5.000000000000000e-09  3.838049376800032e-10  9.997108567747777e+02  9.997108866428659e+02
 5.100000000000000e-09  2.765796096461733e-10  9.997108609469683e+02  9.997108824706762e+02
 5.200000000000000e-09  1.993102972532222e-10  9.997108639535554e+02  9.997108794640897e+02
 5.300000000000000e-09  1.436280553906424e-10  9.997108661201792e+02  9.997108772974668e+02
 5.400000000000000e-09  1.035020087173732e-10  9.997108676815042e+02  9.997108757361431e+02
 5.500000000000000e-09  7.458615368691320e-11  9.997108688066347e+02  9.997108746110132e+02
 5.600000000000000e-09  5.374864901278408e-11  9.997108696174329e+02  9.997108738002159e+02
 5.700000000000000e-09  3.873260993371139e-11  9.997108702017147e+02  9.997108732159354e+02
 5.800000000000000e-09  2.791166793197165e-11  9.997108706227632e+02  9.997108727948879e+02
 5.900000000000000e-09  2.011382038368007e-11  9.997108709261817e+02  9.997108724914704e+02
 6.000000000000000e-09  1.449449235571157e-11  9.997108711448329e+02  9.997108722728202e+02
 6.100000000000000e-09  1.044506123651073e-11  9.997108713023990e+02  9.997108721152554e+02
 6.200000000000000e-09  7.526938157845615e-12  9.997108714159452e+02  9.997108720017101e+02
 6.300000000000000e-09  5.424064315770065e-12  9.997108714977697e+02  9.997108719198868e+02
 6.400000000000000e-09  3.908679749238996e-12  9.997108715567347e+02  9.997108718609231e+02
 6.500000000000000e-09  2.816655029015500e-12  9.997108715992265e+02  9.997108718184323e+02
 6.600000000000000e-09  2.029714218304071e-12  9.997108716298471e+02  9.997108717878127e+02
 6.700000000000000e-09  1.462624727535219e-12  9.997108716519134e+02  9.997108717657474e+02
 6.800000000000000e-09  1.053965715202119e-12  9.997108716678151e+02  9.997108717498465e+02
 6.900000000000000e-09  7.594757634518872e-13  9.997108716792741e+02  9.997108717383883e+02
 7.000000000000000e-09  5.472590086181707e-13  9.997108716875321e+02  9.997108717301314e+02
 7.100000000000000e-09  3.943305113560251e-13  9.997108716934830e+02  9.997108717241813e+02
 7.200000000000000e-09  2.841266390504985e-13  9.997108716977717e+02  9.997108717198936e+02
 7.300000000000000e-09  2.047112725443276e-13  9.997108717008625e+02  9.997108717168040e+02
 7.400000000000000e-09  1.474828336880462e-13  9.997108717030895e+02  9.997108717145775e+02
 7.499999999999999e-09  1.062429002149742e-13  9.997108717046947e+02  9.997108717129732e+02
 7.600000000000000e-09  7.652471062379339e-14  9.997108717058513e+02  9.997108717118170e+02
 7.699999999999999e-09  5.510930923176771e-14  9.997108717066851e+02  9.997108717109842e+02
 7.800000000000000e-09  3.967718533126397e-14  9.997108717072862e+02  9.997108717103839e+02
 7.900000000000000e-09  2.855655295150565e-14  9.997108717077192e+02  9.997108717099517e+02
 8.000000000000000e-09  2.054288517163489e-14  9.997108717080316e+02  9.997108717096405e+02
 8.100000000000000e-09  1.476834405640096e-14  9.997108717082569e+02  9.997108717094162e+02
 8.199999999999999e-09  1.060738316876828e-14  9.997108717084194e+02  9.997108717092547e+02
 8.300000000000000e-09  7.608997639221758e-15  9.997108717085365e+02  9.997108717091386e+02
 8.399999999999999e-09  5.448623977404569e-15  9.997108717086210e+02  9.997108717090549e+02
 8.500000000000000e-09  3.892187121887305e-15  9.997108717086821e+02  9.997108717089945e+02
 8.600000000000001e-09  2.770759188213052e-15  9.997108717087262e+02  9.997108717089512e+02
 8.700000000000000e-09  1.962486712830972e-15  9.997108717087583e+02  9.997108717089204e+02
 8.800000000000001e-09  1.379961050425138e-15  9.997108717087816e+02  9.997108717088981e+02
 8.899999999999999e-09  9.599362746025183e-16  9.997108717087981e+02  9.997108717088822e+02
 9.000000000000000e-09  6.567612436485808e-16  9.997108717088105e+02  9.997108717088710e+02
 9.100000000000000e-09  4.378005902180915e-16  9.997108717088192e+02  9.997108717088629e+02
 9.200000000000000e-09  2.795312419944297e-16  9.997108717088257e+02  9.997108717088573e+02
 9.300000000000001e-09  1.650225337517905e-16  9.997108717088307e+02  9.997108717088535e+02
